College Code,Caste,Gender,Region,Branch,Last Rank
ADTPPU,BC_E,M,AU,CSD,29386
ADTPPU,OC,F,AU,CSD,15932
ADTPPU,OC,M,AU,CSD,15526
ADTPPU,SC,F,AU,CSD,90137
ADTPPU,SC,M,AU,CSD,80829
ADTPPU,ST,F,AU,CSD,172205
ADTPPU,ST,M,AU,CSD,170660
ADTPPU,EWS,F,AU,CSD,
ADTPPU,EWS,M,AU,CSD,
ADTPPU,BC_A,F,AU,CSE,19076
ADTPPU,BC_A,M,AU,CSE,18866
ADTPPU,BC_B,F,AU,CSE,16778
ADTPPU,BC_B,M,AU,CSE,17207
ADTPPU,BC_C,F,AU,CSE,25954
ADTPPU,BC_C,M,AU,CSE,0
ADTPPU,BC_D,F,AU,CSE,14680
ADTPPU,BC_D,M,AU,CSE,14158
ADTPPU,BC_E,F,AU,CSE,34779
ADTPPU,BC_E,M,AU,CSE,26902
ADTPPU,OC,F,AU,CSE,9705
ADTPPU,OC,M,AU,CSE,9723
ADTPPU,SC,F,AU,CSE,46373
ADTPPU,SC,M,AU,CSE,46756
ADTPPU,ST,F,AU,CSE,151363
ADTPPU,ST,M,AU,CSE,118769
ADTPPU,EWS,F,AU,CSE,
ADTPPU,EWS,M,AU,CSE,
ADTPPU,BC_A,F,AU,ECE,43475
ADTPPU,BC_A,M,AU,ECE,41792
ADTPPU,BC_B,F,AU,ECE,34574
ADTPPU,BC_B,M,AU,ECE,33508
ADTPPU,BC_C,F,AU,ECE,53620
ADTPPU,BC_C,M,AU,ECE,9436
ADTPPU,BC_D,F,AU,ECE,27057
ADTPPU,BC_D,M,AU,ECE,25449
ADTPPU,BC_E,F,AU,ECE,125679
ADTPPU,BC_E,M,AU,ECE,89303
ADTPPU,OC,F,AU,ECE,18591
ADTPPU,OC,M,AU,ECE,19417
ADTPPU,SC,F,AU,ECE,112663
ADTPPU,SC,M,AU,ECE,94545
ADTPPU,ST,F,AU,ECE,122967
ADTPPU,ST,M,AU,ECE,164295
ADTPPU,EWS,F,AU,ECE,
ADTPPU,EWS,M,AU,ECE,
ADTPPU,BC_A,F,AU,EEE,77220
ADTPPU,BC_A,M,AU,EEE,74478
ADTPPU,BC_B,F,AU,EEE,59302
ADTPPU,BC_B,M,AU,EEE,48273
ADTPPU,BC_C,F,AU,EEE,0
ADTPPU,BC_C,M,AU,EEE,0
ADTPPU,BC_D,F,AU,EEE,43801
ADTPPU,BC_D,M,AU,EEE,44782
ADTPPU,BC_E,F,AU,EEE,0
ADTPPU,BC_E,M,AU,EEE,0
ADTPPU,OC,F,AU,EEE,42841
ADTPPU,OC,M,AU,EEE,30441
ADTPPU,SC,F,AU,EEE,145133
ADTPPU,SC,M,AU,EEE,132206
ADTPPU,ST,F,AU,EEE,0
ADTPPU,ST,M,AU,EEE,0
ADTPPU,EWS,F,AU,EEE,
